Arrival Delay (Minutes),destinationstate_0,destinationstate_1,destinationstate_2,destinationlatitude,destinationlongitude,originstate_0,originstate_1,originstate_2,originstate_3,originstate_4,originstate_5,originstate_6,originlatitude,originlongitude,Month,Day,Scheduled Arrival Hour,Scheduled Arrival Minute,Weekdaynum,xs,ys,Month_sin,Month_cos,Day_sin,Day_cos,Weekdaynum_sin,Weekdaynum_cos,HS_Dist,Delayed?,Carrier Code_AA,Carrier Code_DL,Carrier Code_OO,Carrier Code_UA,Carrier Code_WN,Destination Airport_ATL,Destination Airport_DFW,Destination Airport_LAX,Destination Airport_ORD
-10,0,0,1,33.64044,-84.42694,0,0,0,0,1,0,0,25.79325,-80.29056,1,4,11,51,3,0.039259816,-0.999229036,0.5,0.866025404,0.724792787,0.688966919,1.22E-16,-1,0,0,1,0,0,0,0,1,0,0,0
-3,0,0,1,33.64044,-84.42694,0,0,0,0,1,0,1,33.94254,-118.40807,1,4,7,4,3,0.961261696,-0.275637356,0.5,0.866025404,0.724792787,0.688966919,1.22E-16,-1,0,0,1,0,0,0,0,1,0,0,0
-12,0,0,1,33.64044,-84.42694,0,0,0,0,0,1,0,32.89595,-97.0372,1,4,9,3,3,0.69779046,-0.716301943,0.5,0.866025404,0.724792787,0.688966919,1.22E-16,-1,0,0,1,0,0,0,0,1,0,0,0
2,0,0,1,33.64044,-84.42694,0,0,0,0,1,0,1,33.94254,-118.40807,1,4,14,23,3,-0.584249666,-0.811573982,0.5,0.866025404,0.724792787,0.688966919,1.22E-16,-1,0,1,1,0,0,0,0,1,0,0,0
-19,0,0,1,33.64044,-84.42694,0,0,0,0,1,1,0,41.9796,-87.90446,1,4,11,40,3,0.087155743,-0.996194698,0.5,0.866025404,0.724792787,0.688966919,1.22E-16,-1,0,0,1,0,0,0,0,1,0,0,0
8,0,0,1,33.64044,-84.42694,0,0,0,0,1,0,0,25.79325,-80.29056,1,4,21,40,3,-0.573576436,0.819152044,0.5,0.866025404,0.724792787,0.688966919,1.22E-16,-1,0,1,1,0,0,0,0,1,0,0,0
-5,0,0,1,33.64044,-84.42694,0,0,0,0,0,1,0,32.89595,-97.0372,1,4,13,27,3,-0.370557438,-0.928809553,0.5,0.866025404,0.724792787,0.688966919,1.22E-16,-1,0,0,1,0,0,0,0,1,0,0,0
-6,0,0,1,33.64044,-84.42694,0,0,0,0,0,1,0,32.89595,-97.0372,1,4,15,57,3,-0.859406412,-0.511293086,0.5,0.866025404,0.724792787,0.688966919,1.22E-16,-1,0,0,1,0,0,0,0,1,0,0,0
0,0,0,1,33.64044,-84.42694,0,0,0,0,1,1,1,40.77724,-73.87261,1,4,16,34,3,-0.930417568,-0.366501227,0.5,0.866025404,0.724792787,0.688966919,1.22E-16,-1,0,0,1,0,0,0,0,1,0,0,0
0,0,0,1,33.64044,-84.42694,0,0,0,0,1,1,1,40.77724,-73.87261,1,4,22,58,3,-0.267238376,0.963630453,0.5,0.866025404,0.724792787,0.688966919,1.22E-16,-1,0,0,1,0,0,0,0,1,0,0,0
-16,0,0,1,33.64044,-84.42694,0,0,0,0,0,0,1,35.21401,-80.94313,1,4,14,44,3,-0.656059029,-0.75470958,0.5,0.866025404,0.724792787,0.688966919,1.22E-16,-1,0,0,1,0,0,0,0,1,0,0,0
0,0,0,1,33.64044,-84.42694,0,0,0,1,0,0,0,39.87195,-75.24114,1,4,20,37,3,-0.774392644,0.632705329,0.5,0.866025404,0.724792787,0.688966919,1.22E-16,-1,0,0,1,0,0,0,0,1,0,0,0
-11,0,0,1,33.64044,-84.42694,0,0,0,0,0,0,1,35.21401,-80.94313,1,4,23,59,3,-0.004363309,0.999990481,0.5,0.866025404,0.724792787,0.688966919,1.22E-16,-1,0,0,1,0,0,0,0,1,0,0,0
